state,total_spend_clf
AK,19233.53647
AL,20273.5291295
AR,21380.553743
AZ,27425.643472
CA,173784.1066775
CO,16502.121947
CT,8144.009002999999
DE,3022.632718
FL,109293.7901625
GA,50682.1265835
HI,2949.8024025
IA,39515.3317085
ID,7415.2597525
IL,46160.652609
IN,25334.133947
KS,10510.1513935
KY,16467.8933995
LA,18314.1766685
MA,13415.148207999999
MD,10550.58279
ME,23576.8488895
MI,46248.594916
MN,36783.8717195
MO,25335.000226500004
MS,10703.668261499999
MT,11789.5694835
NC,59269.5921055
ND,2810.227533
NE,17627.84403
NH,3917.345948
NJ,53875.5626995
NM,28055.800767
NV,12831.8997995
NY,134954.690287
OH,45438.187349
OK,46318.858254
OR,14520.927698
PA,68559.5499525
RI,2295.0045015
SC,53090.638506
SD,3093.2184635000003
TN,25620.234467
TX,145519.5130995
UT,85198.73127649998
VA,59331.763473
VT,1170.8798595
WA,22190.955272
WI,26736.4943795
WV,5748.9121535
WY,2809.6588945
NA,291.850739
