state,total_spend_cmp
AK,6325.345569499999
AL,14321.1838885
AR,77065.385039
AZ,50498.119226500006
CA,614694.4383575
CO,45669.7330705
CT,28707.5201405
DC,1.059709
DE,8215.001211499999
FL,152191.9287125
GA,88304.46430400001
HI,9152.8982795
IA,164329.978286
ID,9226.9400725
IL,157978.66742699998
IN,56037.80093900001
KS,62569.8992765
KY,60013.145602000004
LA,11048.892065999999
MA,66209.87579600001
MD,41180.976483
ME,77297.8893475
MI,157029.05153700002
MN,117584.8448335
MO,69887.19516999999
MS,5612.8215955
MT,44016.0222405
NC,96576.857705
ND,3011.1979655
NE,57615.3114935
NH,12772.0774025
NJ,187445.85957100004
NM,60163.0924965
NV,31174.4799675
NY,354904.10655200004
OH,153586.1793415
OK,64079.7297495
OR,62646.489763
PA,165480.88323500002
RI,8471.869442
SC,74279.4185485
SD,4199.781578
TN,25601.3317415
TX,298660.4237945
UT,67078.13067299999
VA,154168.604849
VT,8901.7079465
WA,120185.99757
WI,39175.472576500004
WV,7700.4852005
WY,3033.388833
NA,8839.984158000001
