state,total_spend_smp
AK,3929.3292669999996
AL,7137.142359500001
AR,4919.3161835
AZ,66658.0520325
CA,194404.43558649998
CO,547641.9340035
CT,15696.713304500001
DE,3592.0620035
FL,52550.9811605
GA,1038563.3222980001
HI,4932.1724785
IA,848817.7554725
ID,4348.991202499999
IL,45141.68609849999
IN,13560.5855355
KS,7492.0839240000005
KY,10541.762097
LA,5658.955717500001
MA,46935.0185745
MD,28735.3538525
ME,51438.26088499999
MI,1464824.6507094998
MN,23792.909457
MO,15054.4544555
MS,2473.443232
MT,513738.444571
NC,29121.257184000002
ND,1419.9683885
NE,4687.731932
NH,9347.540574
NJ,29736.3700955
NM,8940.498242499998
NV,6834.205909
NY,101731.58924349998
OH,29435.8590105
OK,5805.9139465
OR,28616.394865000002
PA,38607.7795475
RI,4924.710284500001
SC,481746.093002
SD,1958.7706005
TN,13279.418658
TX,141068.000992
UT,5995.7524375
VA,32840.527022
VT,5219.829419
WA,50444.685325000006
WI,17730.212603499996
WV,3554.6880005000003
WY,1670.5216635000002
NA,15374.5757825
