state,smp_fundraise
AE,3700
AK,16435
AL,54103.2
AR,2024362.2
AZ,192215.4
CA,21536250.34
CO,456893.2
CT,300419.34
DC,864039
DE,44818
FL,3569653
GA,233548.9
HI,42845.2
IA,51906.2
ID,36475
IL,5282582.96
IN,3586955.99
KS,50207
KY,9549
LA,28183
MA,4539026.63
MD,576047.2
ME,76348
MI,1278539.33
MN,219929.38
MO,491849.2
MS,274498.02
MT,56292.2
NC,172098.4
ND,8259
NE,114551.9
NH,70930
NJ,671485.35
NM,134756.6
NV,65656.2
NY,17137887.94
OH,400163
OK,248531
ON,100
OR,445762.53
PA,419412.93
RI,68024
SC,51021.8
SD,8561
TN,1524482.8
TX,1355846.75
UT,30800
VA,733445.52
VI,500
VT,54872.89
WA,845038.07
WI,135941
WV,15296
WY,28355
NA,24460
