week,fb_spend,dr_fundraise
2020-04-06,1137302.99193781,4674143.89
2020-04-13,655336.8119276242,7386445.31
2020-04-20,536849.090832851,6727028.93
2020-04-27,529788.8854332073,5972532.5
2020-05-04,467891.58731609903,4964651.07
2020-05-11,690327.7440295515,5543165.33
2020-05-18,932314.5791832289,5502651.61
2020-05-25,1317476.0012863248,10070212.65
2020-06-01,4573290.113859527,9991115.540000001
2020-06-08,1527918.3870986942,7578342.1
2020-06-15,1416317.618545996,10140599.72
2020-06-22,335288.6857643665,11353835.05
2020-06-29,32848.40527372992,7855634.17
2020-07-13,4980.721659847222,9203592.25
2020-07-20,15808.276090652778,12840785.02
2020-07-27,16287.9988505,14834104.12
2020-08-03,22509.247136428574,19433366.71
2020-08-10,283522.1735652696,45251877.57999999
2020-08-17,378570.98911389627,45359305.53999999
2020-08-24,354404.7938325574,42513400.51
2020-08-31,284467.00293726014,28580658.89
2020-09-07,367876.8271751803,34093954.879999995
2020-09-14,759104.982026934,40383090.68
2020-09-21,630518.1417243996,44309920.720000006
2020-09-28,2255977.383976784,40778775.570000015
2020-10-05,3325182.4574987493,37439378.18000001
2020-10-12,4260841.303415746,7273819.87
2020-10-19,5797501.685323443,NA
2020-10-26,6901852.3922560625,NA
2020-11-02,495288.2466317888,NA
2020-07-06,NA,8121071.81
