week,total_spend,total_impressions
2020-04-06,227275.94939832983,12205450.121092828
2020-04-13,242432.7586580082,14320971.71985878
2020-04-20,469215.1633603298,22958812.420422316
2020-04-27,658596.7258245936,29583078.12560181
2020-05-04,832929.0493600331,33390454.649574462
2020-05-11,1390121.5852715431,54445368.65919765
2020-05-18,530323.323480476,26808525.497386977
2020-05-25,951709.6753656019,35618524.50652688
2020-06-01,980618.2473291291,48555813.53703256
2020-06-08,865247.1067336368,40248235.6849772
2020-06-15,1961478.7674604442,95744939.13669296
2020-06-22,3123748.4942705613,111553179.37045927
2020-06-29,1458486.1997203769,68274916.65281132
2020-07-06,1818012.978647474,86716794.2016995
2020-07-13,424657.55584359117,18342612.896381028
2020-07-20,823618.8451549095,44805753.29790112
2020-07-27,492084.3613641994,26615155.129389923
2020-08-03,1599528.701720591,60622858.005940385
2020-08-10,619087.8672694167,35044482.281058
2020-08-17,390782.81627850357,22755672.872366536
2020-08-24,1618620.8700460189,67310865.99080095
2020-08-31,867544.8376744156,43538607.7908444
2020-09-07,1074821.7066929198,53122155.654289685
2020-09-14,1618363.7822084865,77451785.61451913
2020-09-21,2107285.686451867,81149231.86210646
2020-09-28,3718935.661403565,92134225.84014
2020-10-05,3355688.2681942354,80367232.7696058
2020-10-12,3220445.746920331,107722766.96241006
2020-10-19,6390934.18856278,161826399.61577532
2020-10-26,6725987.3661897015,229703849.68347546
2020-11-02,483151.63581927854,19487570.64375673
